,Company_Name,Company_Type,HeadQuater,Company_Age,Total_employee,reviews,ratings
1992,C-Edge Technolog...,Private,Thane + 14 more,16 years old,501-1k Employees (India),(230 Reviews),4
1993,Amartex Industri...,Public,Panchkula + 16 more,34 years old,501-1k Employees (India),(230 Reviews),4.6
1994,Toshiba JSW Powe...,Private,"Chiyoda-ku,Tokyo-to + 7 more",9 years old,501-1k Employees (India),(230 Reviews),4.3
1995,Bhilosa Industri...,Private,"Mumbai,Maharashtra + 2 more",34 years old,1k-5k Employees (India),(230 Reviews),3.7
1996,Practo,Private,"Bangalore,Karnataka + 17 more",14 years old,1k-5k Employees (India),(230 Reviews),3.4
1997,Apple,Private,"Cupertino,California + 56 more",46 years old,10k-50k Employees (India),(234 Reviews),4.3
1998,Kelly Services,Private,"Troy,Michigan + 23 more",76 years old,51-200 Employees (India),(229 Reviews),4
1999,MN Dastur & Comp...,Private,"Kolkata,West Bengal + 12 more",67 years old,1k-5k Employees (India),(229 Reviews),3.5
2000,Montecarlo Const...,"Ahmedabad,Gujarat + 48 more",27 years old,1k-5k Employees (India),,(229 Reviews),4.3
2001,Suraksha Diagnos...,Private,Kolkata + 16 more,30 years old,1k-5k Employees (India),(229 Reviews),3.5
2002,Balmer Lawrie,Private,"Kolkata,West Bengal + 29 more",155 years old,1k-5k Employees (India),(229 Reviews),3.9
2003,IFFCO Kisan Sanc...,Private,"Delhi/NCR,Delhi + 50 more",15 years old,501-1k Employees (India),(229 Reviews),3.6
2004,Indian Immunolog...,Public,"Hyderabad/Secunderabad,Telangana + 18 more",40 years old,1k-5k Employees (India),(229 Reviews),4.2
2005,Manipal Technolo...,Private,"Manipal,Karnataka + 36 more",81 years old,1k-5k Employees (India),(229 Reviews),3.8
2006,Fortis Escorts ...,Public,"Delhi/NCR,Delhi + 14 more",34 years old,5k-10k Employees (India),(229 Reviews),4.1
2007,Aarti Drugs,Public,Mumbai + 9 more,38 years old,201-500 Employees (India),(228 Reviews),3.9
2008,Psp Projects,Private,"Ahmedabad,Gujarat + 14 more",14 years old,501-1k Employees (India),(228 Reviews),4.1
2009,Narayana e-Techn...,Private,Hyderabad + 35 more,10 years old,10k-50k Employees (Global),(228 Reviews),3.9
2010,Alankit,Public,"Delhi/NCR,New Delhi + 29 more",31 years old,1k-5k Employees (India),(228 Reviews),3
2011,DFM Foods,Public,"Delhi/NCR,New Delhi + 44 more",39 years old,501-1k Employees (India),(228 Reviews),4.2
2012,smartData Enterp...,Private,White Plains + 6 more,23 years old,501-1k Employees (India),(228 Reviews),3.7
2013,National Contrac...,Private,Al-Khobar + 17 more,55 years old,501-1k Employees (India),(227 Reviews),4.2
2014,P&O Cruises,Private,Southampton + 6 more,185 years old,11-50 Employees (India),(227 Reviews),4.5
2015,Jyoti CNC Automa...,Public,"Rajkot,Gujarat + 21 more",33 years old,501-1k Employees (India),(227 Reviews),4.2
2016,Vaaman Engineers,Private,Mumbai + 22 more,32 years old,1k-5k Employees (India),(227 Reviews),4.1
2017,IMSI,Private,"Dehradun,Uttarakhand + 36 more",36 years old,1k-5k Employees (Global),(227 Reviews),3.2
2018,Ppap Automotive,Public,"Noida,Uttar Pradesh + 9 more",44 years old,1k-5k Employees (India),(227 Reviews),4
2019,VKC Group,Private,"Calicut/Kozhikode,Kerala + 27 more",38 years old,10k-50k Employees (Global),(227 Reviews),3.6
2020,Mecon,Private,"Ranchi,Jharkhand + 28 more",63 years old,1k-5k Employees (India),(227 Reviews),4
2021,GS Engineering &...,Seoul + 16 more,53 years old,201-500 Employees (India),,(227 Reviews),4.1
2022,Teva API,Private,Tel Aviv + 13 more,87 years old,1k-5k Employees (India),(226 Reviews),3.9
2023,Jawahar Navodaya...,Private,"Noida,Uttar Pradesh + 83 more",37 years old,10k-50k Employees (India),(226 Reviews),4.4
2024,Varuna Integrate...,Private,"Gurgaon/Gurugram,Haryana + 40 more",26 years old,1k-5k Employees (India),(226 Reviews),4
2025,Amber Enterprise...,Public,"Mumbai,Maharashtra + 15 more",28 years old,501-1k Employees (India),(226 Reviews),4.2
2026,Kerala State Ele...,Private,"Trivandrum/Thiruvananthapuram,Kerala + 21 more",65 years old,10k-50k Employees (India),(226 Reviews),4.3
2027,Caparo Maruti,JV,"Gurgaon/Gurugram,Haryana + 10 more",28 years old,501-1k Employees (India),(695 Reviews),3.9
