,Company_Name,Company_Type,HeadQuater,Company_Age,Total_employee,reviews,ratings
5860,Verse Innovation,Private,"Bangalore/Bengaluru,Karnataka + 6 more",15 years old,501-1k Employees (India),(80 Reviews),3.5
5861,Baskin Robbins,Private,"Canton,Massachusetts + 24 more",77 years old,11-50 Employees (Global),(80 Reviews),4.3
5862,Stefanini,Private,"JaguariÃºna,Michigan + 6 more",20 years old,201-500 Employees (India),(80 Reviews),3.7
5863,Zamil,Private,Al Khobar + 9 more,102 years old,10k-50k Employees (Global),(80 Reviews),4.2
5864,ARB Bearings,Public,"Delhi/NCR,New Delhi + 6 more",32 years old,201-500 Employees (India),(80 Reviews),3.9
5865,Ivy Mobility Sol...,Private,Marina Blvd + 6 more,20 years old,201-500 Employees (India),(80 Reviews),4
5866,Aujas Networks,Private,"Bangalore/Bengaluru,Karnataka + 7 more",14 years old,501-1k Employees (India),(80 Reviews),3.8
5867,Goodluck,Public,Ghaziabad + 12 more,36 years old,1k-5k Employees (India),(80 Reviews),4
5868,A.K.AUTOMATICS,Private,Hariyana + 3 more,53 years old,11-50 Employees (Global),(80 Reviews),3.8
5869,Legend Polyfoams,Private,New Delhi + 1 more,22 years old,11-50 Employees (India),(80 Reviews),4.5
5870,DigiVersal Consu...,Private,Noida + 2 more,7 years old,51-200 Employees (India),(80 Reviews),3.3
5871,S AND IB SERVICE...,Private,Kolkata + 8 more,34 years old,201-500 Employees (India),(80 Reviews),4.1
5872,Ceat Specialty T...,Private,Mumbai + 11 more,98 years old,51-200 Employees (India),(80 Reviews),4.1
5873,Ganesh Grains,Public,"Kolkata,West Bengal + 13 more",86 years old,51-200 Employees (India),(80 Reviews),3.1
5874,Bansal Hospital,New Delhi + 11 more,24 years old,,,(80 Reviews),3.9
5875,Entertainment Ne...,Public,"Mumbai,Maharashtra + 27 more",23 years old,1k-5k Employees (India),(80 Reviews),3.6
5876,SecUR Credential...,Private,Mumbai + 8 more,21 years old,201-500 Employees (India),(80 Reviews),3.5
5877,Sony Pictures Ne...,Mumbai + 10 more,27 years old,1k-5k Employees (India),,(80 Reviews),4.1
5878,Datapro,Private,Florida + 18 more,46 years old,51-200 Employees (Global),(80 Reviews),3.5
5879,Indu Projects,Private,Hyderabad + 14 more,21 years old,1k-5k Employees (India),(80 Reviews),4.1
5880,Jindal India The...,Private,New Delhi + 7 more,16 years old,201-500 Employees (India),(80 Reviews),3.7
5881,OM Careers,Private,Ludhiana + 1 more,14 years old,11-50 Employees (India),(80 Reviews),3.3
5882,St. Thomas Schoo...,Private,"Delhi/NCR,Delhi + 24 more",92 years old,201-500 Employees (India),(80 Reviews),4.2
5883,Marwadi Shares &...,Public,Geneva + 17 more,30 years old,501-1k Employees (India),(80 Reviews),4.5
5884,M K Agro Tech,Srirangapatna + 12 more,27 years old,51-200 Employees (India),,(80 Reviews),3.5
5885,HashCash Consult...,LLC,"Palo Alto,California + 2 more",7 years old,51-200 Employees (India),(80 Reviews),3.4
5886,Joyson Safety Sy...,Auburn Hills + 6 more,25 years old,50k-1 Lakh Employees (Global),,(80 Reviews),4
5887,Coronis It Syste...,Mohali + 2 more,201-500 Employees (India),,,(80 Reviews),4.1
5888,Dhatsol IT Solut...,51-200 Employees (India),,,,(80 Reviews),3.5
5889,Clean Harbors,Private,"Hyderabad/Secunderabad,Telangana + 1 more",42 years old,201-500 Employees (India),(80 Reviews),3.5
5890,R M Chemicals,Private,"Chandigarh,Chandigarh + 3 more",27 years old,201-500 Employees (India),(80 Reviews),4.2
5891,Shaadi.com,Private,"Mumbai,Maharashtra + 21 more",26 years old,1k-5k Employees (Global),(80 Reviews),3.8
5892,Epicor Software ...,Private,"Austin,Texas + 1 more",50 years old,501-1k Employees (India),(80 Reviews),3.8
5893,Billroth Hospita...,Private,"Chennai,Tamil Nadu + 2 more",32 years old,201-500 Employees (India),(80 Reviews),3.8
5894,Searce Cosourcin...,Private,"Cupertino,California + 4 more",18 years old,1k-5k Employees (India),(80 Reviews),4
5895,Yuken India,Public,"Bangalore/Bengaluru,Karnataka + 4 more",46 years old,201-500 Employees (India),(80 Reviews),3.9
5896,Impulse,Private,Gurgaon + 10 more,40 years old,501-1k Employees (India),(80 Reviews),4
5897,Waah Jobs,"Bangalore,Karnataka + 10 more",7 years old,1-10 Employees (India),,(80 Reviews),4.3
5898,Global Upside,Private,San Jose + 3 more,23 years old,201-500 Employees (Global),(79 Reviews),3.7
5899,Himedia Laborato...,Private,Mumbai + 9 more,49 years old,201-500 Employees (India),(79 Reviews),3.7
5900,Sri Balaji Actio...,New Delhi,17 years old,201-500 Employees (India),,(79 Reviews),3.9
5901,Tonglit Autogist...,Private,"Chennai,Tamil Nadu + 7 more",12 years old,51-200 Employees (India),(79 Reviews),3.8
5902,Fedora Solutions,Private,Charlotte,18 years old,1k-5k Employees (Global),(79 Reviews),3.7
5903,Embitel Technolo...,Private,Bangalore + 2 more,16 years old,201-500 Employees (India),(79 Reviews),3.9
5904,Express KCS,Private,Milford + 3 more,18 years old,501-1k Employees (India),(79 Reviews),4.3
5905,Repro India,Public,"Mumbai,Maharashtra + 10 more",38 years old,501-1k Employees (India),(79 Reviews),3.5
5906,International Fl...,Private,New York + 8 more,189 years old,501-1k Employees (India),(79 Reviews),4.2
5907,Icomm Tele,Private,Hyderabad + 12 more,33 years old,1k-5k Employees (India),(79 Reviews),3.7
5908,Ivangel Sales & ...,Private,Kolkata + 19 more,23 years old,,(79 Reviews),3.7
5909,Clearpack,Private,Singapore + 5 more,31 years old,51-200 Employees (India),(79 Reviews),4
5910,RC Plasto Tanks ...,Private,Nagpur + 11 more,12 years old,51-200 Employees (India),(79 Reviews),3.6
5911,Fidelis Corporat...,Private,Bengaluru + 17 more,12 years old,1k-5k Employees (India),(79 Reviews),3.9
5912,Lubi Industries ...,Private,Ahmedabad + 17 more,57 years old,1k-5k Employees (India),(79 Reviews),4
5913,Annora Pharma,Private,Sangareddy + 1 more,6 years old,201-500 Employees (India),(79 Reviews),3.8
5914,Central Academy ...,Private,New Delhi + 18 more,46 years old,5k-10k Employees (India),(79 Reviews),4.2
5915,K2k Infrastructu...,Private,Bangaluru + 4 more,15 years old,51-200 Employees (India),(79 Reviews),4.3
5916,PSRI Hospital,Private,"Delhi/NCR,Delhi + 1 more",26 years old,501-1k Employees (Global),(79 Reviews),4
5917,Anglo-French Dru...,Private,Bangalore + 15 more,99 years old,501-1k Employees (India),(79 Reviews),4.1
5918,Q3 Technologies,Private,"Boston,Massachusetts + 4 more",31 years old,501-1k Employees (India),(79 Reviews),4.2
5919,Indian School of...,Private,"Hyderabad/Secunderabad,Telangana + 7 more",7 years old,51-200 Employees (India),(79 Reviews),4.3
5920,HLE Engineers,Private,Navsari + 5 more,41 years old,501-1k Employees (Global),(79 Reviews),3.6
5921,Taco Bell,Irvine + 13 more,60 years old,1 Lakh+ Employees (Global),,(79 Reviews),4.2
5922,GREEN POWER INTE...,Noida + 19 more,20 years old,501-1k Employees (India),,(79 Reviews),4.2
5923,Sicagen,Public,"Chennai,Tamil Nadu + 22 more",18 years old,501-1k Employees (India),(79 Reviews),4.1
5924,Indiana Gratings,Private,"Mumbai,Maharashtra + 5 more",52 years old,501-1k Employees (India),(79 Reviews),4.2
5925,Nagata India,Gurugram + 8 more,23 years old,51-200 Employees (India),,(79 Reviews),4.1
5926,String Real Esta...,Tampa + 6 more,18 years old,201-500 Employees (India),,(79 Reviews),3.7
5927,INDIAN DESIGNS,Bangalore + 7 more,29 years old,201-500 Employees (India),,(79 Reviews),4
5928,Rentokil Initial,Private,"Mumbai,Maharashtra + 22 more",5 years old,201-500 Employees (India),(79 Reviews),4.5
5929,SunTec Business ...,Private,"Trivandrum/Thiruvananthapuram,Kerala + 8 more",32 years old,501-1k Employees (India),(79 Reviews),3
5930,Mahindra Two Whe...,Public,Pune + 23 more,14 years old,501-1k Employees (India),(79 Reviews),4.5
5931,Metal Power Anal...,Private,"Mumbai,Maharashtra + 16 more",35 years old,51-200 Employees (India),(79 Reviews),3.7
5932,Back Office,Private,Dubai + 29 more,18 years old,51-200 Employees (Global),(79 Reviews),3.7
5933,DIC India,Public,"Chuo,Tokyo + 9 more",75 years old,501-1k Employees (India),(79 Reviews),4.2
5934,Integrated Clean...,Hyderabad + 2 more,19 years old,501-1k Employees (India),,(79 Reviews),4.5
5935,KDDL,Public,"Chandigarh,Chandigarh + 6 more",41 years old,501-1k Employees (India),(79 Reviews),4
5936,APL Logistics,Private,"Scottsdale,Arizona + 22 more",45 years old,501-1k Employees (India),(79 Reviews),3.9
5937,Sutures India,Private,"Bangalore,Karnataka + 17 more",30 years old,201-500 Employees (India),(79 Reviews),4.1
5938,AT&S,Private,"Mumbai,Maharashtra + 20 more",35 years old,5k-10k Employees (Global),(79 Reviews),4.1
5939,Mogli labs,"Noida,Uttar Pradesh + 14 more",8 years old,11-50 Employees (India),,(79 Reviews),3.9
5940,ANY Graphics,Private,"Noida,Uttar Pradesh + 16 more",23 years old,201-500 Employees (India),(79 Reviews),3.6
5941,Gram Tarang Empl...,Private,Bhubaneswar + 13 more,17 years old,51-200 Employees (India),(79 Reviews),3.5
5942,Shilpa Steel and...,Nagpur,34 years old,51-200 Employees (India),,(79 Reviews),4
5943,Tyco Internation...,New Jersey + 16 more,62 years old,50k-1 Lakh Employees (Global),,(79 Reviews),4.2
5944,Harsha Toyota,Public,Hyderabad + 8 more,85 years old,201-500 Employees (Global),(79 Reviews),4
5945,Datavail Infotec...,Private,"Broomfield,Colorado + 4 more",15 years old,201-500 Employees (India),(79 Reviews),3.1
5946,Tata Sia Airline...,"Gurgaon/Gurugram,Haryana + 10 more",9 years old,1k-5k Employees (India),,(79 Reviews),3.6
5947,Vanesa Care,Private,"Delhi/NCR,Delhi + 17 more",39 years old,501-1k Employees (India),(79 Reviews),4
5948,Morarjee Textile...,Public,"Mumbai,Maharashtra + 3 more",151 years old,201-500 Employees (India),(79 Reviews),4.1
5949,KlinEra Corporat...,San Jose + 11 more,17 years old,51-200 Employees (Global),,(79 Reviews),4.3
5950,Newt Global Chen...,Private,"Irving,Texas + 6 more",18 years old,51-200 Employees (India),(79 Reviews),3.8
5951,Overseas Health ...,Jalandhar + 24 more,28 years old,501-1k Employees (India),,(79 Reviews),2.7
5952,POWERGRID,Public,Gurgaon + 33 more,33 years old,5k-10k Employees (Global),(79 Reviews),4.6
5953,Ogilvy,Private,"New York,New York State + 9 more",74 years old,10k-50k Employees (Global),(79 Reviews),4
5954,Eurolife Healthc...,Private,"Mumbai,Maharashtra + 6 more",21 years old,51-200 Employees (India),(79 Reviews),3
5955,IJM (India) Infr...,Public,Hyderabad + 10 more,24 years old,201-500 Employees (India),(79 Reviews),4.5
5956,Imerys,Private,Paris + 13 more,142 years old,51-200 Employees (India),(79 Reviews),3.8
5957,Ecole Globale In...,Dehradun + 14 more,51-200 Employees (India),,,(79 Reviews),4.1
5958,Bharat BPO Servi...,Private,Noida + 10 more,16 years old,201-500 Employees (India),(79 Reviews),4
5959,Princeware,Private,Mumbai + 16 more,44 years old,51-200 Employees (India),(79 Reviews),3.5
5960,Formel D,Private,Troisdorf + 9 more,29 years old,201-500 Employees (India),(79 Reviews),3.4
5961,Sagitec Solution...,"Saint Paul,Minnesota + 1 more",18 years old,51-200 Employees (India),,(79 Reviews),3.7
5962,Krishidhan Seeds,Private,"Jalna,Maharashtra + 16 more",26 years old,1-10 Employees (India),(79 Reviews),4.1
5963,SmartStream Tech...,Private,London + 4 more,22 years old,501-1k Employees (India),(79 Reviews),3.6
5964,PAVIT CERAMICS (...,Private,Ahmedabad + 19 more,22 years old,501-1k Employees (India),(79 Reviews),3.1
5965,SAN Engineering ...,Public,Bangalore + 7 more,53 years old,201-500 Employees (India),(79 Reviews),3.8
5966,BAIF Development...,Private,"Pune,Maharashtra + 23 more",55 years old,501-1k Employees (India),(79 Reviews),4.1
5967,HM Constructions,"Bangalore/Bengaluru,Karnataka + 2 more",31 years old,51-200 Employees (India),,(79 Reviews),4.7
5968,Jewelex India,Private,"Mumbai,Maharashtra + 3 more",56 years old,201-500 Employees (India),(79 Reviews),4
5969,Manappuram Home ...,Private,Mumbai + 24 more,12 years old,201-500 Employees (India),(79 Reviews),3.7
5970,Tricon Infra Bui...,Private,Pune + 3 more,16 years old,201-500 Employees (India),(79 Reviews),3
5971,LKQ INDIA,"Bangalore/Bengaluru,Karnataka + 1 more",14 years old,501-1k Employees (India),,(79 Reviews),4.2
5972,Sopra Banking So...,Public,"Paris,Ile-de-France + 2 more",10 years old,51-200 Employees (India),(79 Reviews),4.3
5973,Mobase,Private,Ansan-si + 4 more,44 years old,1k-5k Employees (Global),(79 Reviews),3.8
5974,R.k.industries,Public,New Delhi + 20 more,11-50 Employees (Global),,(79 Reviews),3.8
5975,Moreish Food,Private,Ranchi + 11 more,33 years old,51-200 Employees (India),(79 Reviews),2.7
5976,Classboat,Private,"Pune,Maharashtra + 4 more",7 years old,51-200 Employees (Global),(79 Reviews),4.2
5977,Omprime Technolo...,Gurgaon/Gurugram + 3 more,3 years old,201-500 Employees (India),,(79 Reviews),4.6
5978,Skp Business Con...,Mumbai + 3 more,24 years old,1k-5k Employees (Global),,(79 Reviews),3.5
5979,COSMO Infrasolut...,Jaipur + 11 more,22 years old,501-1k Employees (India),,(79 Reviews),4.1
5980,Yeshshree Press ...,"Aurangabad,Maharashtra + 1 more",25 years old,1k-5k Employees (India),,(79 Reviews),3.8
5981,Sage Metals,Private,New Delhi + 5 more,39 years old,1k-5k Employees (Global),(79 Reviews),3.7
5982,Mazars,LLP,Paris + 8 more,15 years old,501-1k Employees (India),(91 Reviews),2.9
5983,Gemalto,Private,"Sunnyvale,California + 6 more",16 years old,51-200 Employees (India),(79 Reviews),4.5
5984,Hidden Brains In...,Private,"Ahmedabad,Gujarat",19 years old,201-500 Employees (India),(78 Reviews),4.6
5985,ATS ELGI,Coimbatore + 15 more,15 years old,51-200 Employees (India),,(78 Reviews),4.3
5986,NTC Logistics In...,"Chennai,Tamil Nadu + 10 more",25 years old,201-500 Employees (India),,(78 Reviews),4.4
5987,Motorola,Private,Chicago + 25 more,94 years old,1k-5k Employees (India),(78 Reviews),4.4
5988,Internshala,Private,"Gurgaon,Haryana + 16 more",12 years old,5k-10k Employees (India),(78 Reviews),4.4
5989,Global Opportuni...,Private,"Delhi/NCR,Delhi + 13 more",21 years old,51-200 Employees (India),(78 Reviews),3.5
5990,Interglobe Air T...,Gurgaon + 20 more,33 years old,201-500 Employees (Global),,(78 Reviews),3.8
5991,IWS,Private,Noida + 17 more,18 years old,51-200 Employees (Global),(78 Reviews),4
5992,Dr. Balabhai Nan...,Private,"Mumbai,Maharashtra + 2 more",71 years old,1k-5k Employees (India),(78 Reviews),4.1
5993,EASTMAN EXPORTS ...,Private,"Tirupur/Tiruppur,Tamil Nadu + 6 more",39 years old,501-1k Employees (Global),(78 Reviews),4.2
5994,WSP,Private,Montreal + 8 more,63 years old,50k-1 Lakh Employees (Global),(78 Reviews),4.3
5995,Damac Properties,Private,Dubai + 4 more,20 years old,1k-5k Employees (Global),(78 Reviews),2.8
5996,Cadmaxx Solution...,Private,"Bangalore/Bengaluru,Karnataka + 11 more",18 years old,501-1k Employees (India),(78 Reviews),3.3
5997,Antraweb Technol...,Private,Mumbai + 2 more,30 years old,201-500 Employees (India),(78 Reviews),4
5998,Ester Industries,Public,Gurgaon + 5 more,37 years old,501-1k Employees (India),(78 Reviews),3.9
5999,Ginger Webs,Private,"Noida,Uttar Pradesh + 9 more",14 years old,201-500 Employees (India),(78 Reviews),3.4
6000,Syniverse Techno...,Private,"Tampa,Florida + 3 more",35 years old,201-500 Employees (India),(78 Reviews),3.8
6001,Swami Rama Himal...,Private,"Dehradun,Uttarakhand + 5 more",10 years old,1k-5k Employees (India),(78 Reviews),4
6002,Jehangir Hospita...,Private,"Pune,Maharashtra + 2 more",76 years old,1k-5k Employees (India),(78 Reviews),4.2
6003,Vamani Overseas,Private,"Faridabad,Haryana + 2 more",20 years old,5k-10k Employees (India),(78 Reviews),3.5
6004,Wheels Emi,Private,"Pune,Maharashtra + 20 more",5 years old,201-500 Employees (India),(78 Reviews),3.9
6005,Hyatt Place,Private,Chicago + 11 more,65 years old,50k-1 Lakh Employees (Global),(78 Reviews),4.4
6006,STJ Electronics,"Delhi/NCR,Delhi + 7 more",36 years old,51-200 Employees (India),,(78 Reviews),4.1
6007,Hubtown,Public,"Mumbai,Maharashtra + 6 more",33 years old,1k-5k Employees (India),(78 Reviews),3.4
6008,NIC,Private,New Delhi + 26 more,46 years old,5k-10k Employees (India),(78 Reviews),4.1
6009,Gillette,Public,"Rehovot,Rehovot + 15 more",38 years old,1k-5k Employees (India),(78 Reviews),4.3
6010,V.Ships,Private,Glasgow + 7 more,38 years old,51-200 Employees (India),(78 Reviews),4.2
6011,Fitkids Educatio...,"Bangalore,Karnataka + 9 more",13 years old,51-200 Employees (India),,(78 Reviews),3.1
6012,Gujarat Sidhee C...,Public,Junagadh + 9 more,49 years old,501-1k Employees (India),(78 Reviews),4.4
6013,Dantal Hydraulic...,Private,"Gurgaon/Gurugram,Haryana + 5 more",32 years old,501-1k Employees (India),(78 Reviews),4.3
6014,Eye Q Vision,Private,"Gurgaon,Haryana + 14 more",16 years old,501-1k Employees (India),(78 Reviews),3.8
6015,Mawana Sugars,Public,"Gurgaon/Gurugram,Haryana + 5 more",61 years old,1k-5k Employees (India),(78 Reviews),4.2
6016,MPPTCL,Private,Jabalpur + 18 more,21 years old,1k-5k Employees (India),(78 Reviews),4.2
6017,Obeetee,Private,Noida + 11 more,86 years old,51-200 Employees (India),(78 Reviews),4.1
6018,Trafigura,Private,Singapore + 1 more,29 years old,501-1k Employees (India),(78 Reviews),3.6
6019,SurePrep,Private,"Irvine,California + 2 more",20 years old,51-200 Employees (India),(78 Reviews),3.7
6020,RentoMojo,Private,Bangalore + 9 more,8 years old,201-500 Employees (India),(78 Reviews),3.8
6021,John Distillerie...,Private,Bangalore + 11 more,26 years old,1k-5k Employees (India),(78 Reviews),3.7
6022,Reebok,Private,Boston + 36 more,64 years old,5k-10k Employees (Global),(78 Reviews),4.6
6023,Executive Ship M...,Private,Singapore + 3 more,24 years old,1k-5k Employees (India),(78 Reviews),3.8
6024,SMS Group,Private,Düsseldorf + 7 more,151 years old,1k-5k Employees (Global),(78 Reviews),4.3
6025,Symed Labs,Hyderabad + 2 more,25 years old,501-1k Employees (India),,(78 Reviews),3.8
6026,NELCAST,Public,"Chennai,Tamil Nadu + 4 more",40 years old,501-1k Employees (India),(78 Reviews),3.6
6027,Milltec Machiner...,Private,Bangalore + 9 more,34 years old,501-1k Employees (India),(78 Reviews),3.9
6028,Diraa HR Service...,Coimbatore,16 years old,11-50 Employees (India),,(78 Reviews),4.9
6029,DGS Technical Se...,Private,"Elgin,Illinois + 7 more",18 years old,501-1k Employees (India),(78 Reviews),3.5
6030,ICSIL,Public,New Delhi + 1 more,38 years old,5k-10k Employees (Global),(78 Reviews),4.1
6031,Newtronic Lifeca...,Private,Mumbai + 6 more,46 years old,201-500 Employees (India),(78 Reviews),3.9
6032,John Distillerie...,Private,Bangalore + 11 more,26 years old,1k-5k Employees (India),(78 Reviews),3.7
6033,IWS,Private,Noida + 17 more,18 years old,51-200 Employees (Global),(78 Reviews),4
6034,Swami Rama Himal...,Private,"Dehradun,Uttarakhand + 5 more",10 years old,1k-5k Employees (India),(78 Reviews),4
6035,Milltec Machiner...,Private,Bangalore + 9 more,34 years old,501-1k Employees (India),(78 Reviews),3.9
6036,Jehangir Hospita...,Private,"Pune,Maharashtra + 2 more",76 years old,1k-5k Employees (India),(78 Reviews),4.2
6037,NELCAST,Public,"Chennai,Tamil Nadu + 4 more",40 years old,501-1k Employees (India),(78 Reviews),3.6
6038,Symed Labs,Hyderabad + 2 more,25 years old,501-1k Employees (India),,(78 Reviews),3.8
6039,Wheels Emi,Private,"Pune,Maharashtra + 20 more",5 years old,201-500 Employees (India),(78 Reviews),3.9
6040,Hyatt Place,Private,Chicago + 11 more,65 years old,50k-1 Lakh Employees (Global),(78 Reviews),4.4
6041,Fastway Transmis...,Ludhiana + 15 more,14 years old,201-500 Employees (India),,(78 Reviews),3.5
6042,NTC Logistics In...,"Chennai,Tamil Nadu + 10 more",25 years old,201-500 Employees (India),,(78 Reviews),4.4
6043,Theon Pharmaceut...,Private,"Panchkula,Haryana + 6 more",15 years old,201-500 Employees (India),(78 Reviews),3.7
6044,RentoMojo,Private,Bangalore + 9 more,8 years old,201-500 Employees (India),(78 Reviews),3.8
6045,Obeetee,Private,Noida + 11 more,86 years old,51-200 Employees (India),(78 Reviews),4.1
6046,MPPTCL,Private,Jabalpur + 18 more,21 years old,1k-5k Employees (India),(78 Reviews),4.2
6047,UTI Technology S...,Public,"Mumbai,Maharashtra + 11 more",29 years old,1k-5k Employees (India),(78 Reviews),3.6
6048,Bangalore Baptis...,Private,"Bangalore/Bengaluru,Karnataka + 1 more",49 years old,1k-5k Employees (India),(78 Reviews),4.4
6049,Reliable Busines...,Mumbai + 2 more,12 years old,11-50 Employees (India),,(78 Reviews),3.5
6050,L&T Infrastructu...,Chennai + 28 more,501-1k Employees (India),,,(78 Reviews),4.2
6051,Ginger Webs,Private,"Noida,Uttar Pradesh + 9 more",14 years old,201-500 Employees (India),(78 Reviews),3.4
6052,Reebok,Private,Boston + 36 more,64 years old,5k-10k Employees (Global),(78 Reviews),4.6
6053,Ester Industries,Public,Gurgaon + 5 more,37 years old,501-1k Employees (India),(78 Reviews),3.9
6054,Motorola,Private,Chicago + 25 more,94 years old,1k-5k Employees (India),(78 Reviews),4.4
6055,Infra.Market,Private,"Thane,Maharashtra + 17 more",6 years old,1k-5k Employees (India),(78 Reviews),4
6056,Ruloans,"Mumbai,Maharashtra + 21 more",26 years old,#N/A Employees (Global),,(78 Reviews),3.4
6057,Ways2excel,51-200 Employees (Global),,,,(78 Reviews),4.2
6058,Stellar Informat...,Private,"Gurgaon/Gurugram,Haryana + 9 more",29 years old,201-500 Employees (India),(78 Reviews),3.8
6059,Tata Electronics,Krishnagiri + 4 more,11-50 Employees (India),,,(78 Reviews),4.3
6060,Infra.Market,Private,"Thane,Maharashtra + 17 more",6 years old,1k-5k Employees (India),(78 Reviews),4
6061,Ruloans,"Mumbai,Maharashtra + 21 more",26 years old,#N/A Employees (Global),,(78 Reviews),3.4
6062,Hudson's bay Com...,Private,Brampton,352 years old,501-1k Employees (India),(84 Reviews),4.3
6063,Altair Engineeri...,Private,"Troy,Michigan + 6 more",37 years old,501-1k Employees (India),(77 Reviews),4.2
6064,Western Coalfiel...,Public,Nagpur + 9 more,47 years old,201-500 Employees (Global),(77 Reviews),4.2
6065,Softtech Enginee...,Public,"Pune,Maharashtra + 19 more",26 years old,51-200 Employees (India),(77 Reviews),3.6
6066,Bain & Company,Private,"Boston,Massachusetts + 8 more",49 years old,501-1k Employees (India),(77 Reviews),4.1
6067,VSynergize Outso...,Private,"Boston,MA",21 years old,201-500 Employees (India),(77 Reviews),2.6
6068,Patni Computer S...,Private,"Mumbai,Maharashtra + 12 more",80 years old,51-200 Employees (India),(77 Reviews),3.9
6069,GETIT Infoservic...,Private,"Delhi,NCT + 19 more",36 years old,11-50 Employees (India),(77 Reviews),2.2
6070,Shakti Precision...,Private,Bengaluru + 3 more,30 years old,51-200 Employees (India),(77 Reviews),3.7
6071,Tasmed,"Ahmedabad,Gujarat + 11 more",29 years old,501-1k Employees (India),,(77 Reviews),4.4
6072,TNS,Private,London + 22 more,21 years old,1k-5k Employees (India),(77 Reviews),4.1
6073,Vikram Hospital,Private,"Bangalore,Karnataka + 4 more",13 years old,501-1k Employees (India),(77 Reviews),3.9
6074,ECI Telecom,Private,"Petah Tikva,Petah Tikva + 12 more",61 years old,51-200 Employees (India),(77 Reviews),4.3
6075,Netcore Solution...,Private,"Mumbai,Maharashtra + 9 more",24 years old,201-500 Employees (India),(77 Reviews),3.9
6076,Strata Geosystem...,Private,Mumbai + 7 more,18 years old,201-500 Employees (India),(77 Reviews),4.2
6077,Gleneagles Globa...,Hyderabad + 5 more,23 years old,201-500 Employees (India),,(77 Reviews),4.1
6078,Qatar Steel,Private,Doha + 5 more,48 years old,1k-5k Employees (Global),(77 Reviews),4.4
6079,Zicom Electronic...,Public,Mumbai + 11 more,28 years old,201-500 Employees (India),(77 Reviews),3.6
6080,Bafna Motors,Private,"Navi Mumbai,Maharashtra + 11 more",66 years old,201-500 Employees (India),(77 Reviews),3.8
6081,Radhakrishna Foo...,Private,Thane + 18 more,56 years old,1k-5k Employees (India),(77 Reviews),4.4
6082,Shree Technocrat...,New Delhi + 11 more,16 years old,,,(77 Reviews),3.4
6083,Bentley Systems,Private,"Exton,Pennsylvania + 4 more",17 years old,501-1k Employees (India),(77 Reviews),4
6084,Infodart Technol...,Private,"Gurgaon/Gurugram,Haryana + 12 more",15 years old,201-500 Employees (India),(77 Reviews),3.4
6085,Maintec Technolo...,Private,"Bangalore/Bengaluru,Karnataka + 7 more",24 years old,201-500 Employees (India),(77 Reviews),3.2
6086,FHPL,Private,Hyderabad + 12 more,27 years old,201-500 Employees (India),(77 Reviews),3.9
6087,Inductotherm,Private,New Jersey + 8 more,69 years old,51-200 Employees (India),(77 Reviews),4.3
6088,Tasmed,"Ahmedabad,Gujarat + 11 more",29 years old,501-1k Employees (India),,(77 Reviews),4.4
6089,Toluna,Private,Norwalk + 2 more,22 years old,201-500 Employees (India),(77 Reviews),3.8
6090,Vayam Technologi...,Private,"Delhi/NCR,Delhi + 18 more",22 years old,501-1k Employees (India),(77 Reviews),3.4
6091,Jasmin Infotech,Private,"Chennai,Tamil Nadu",24 years old,501-1k Employees (India),(77 Reviews),4.2
6092,Tupperware,Private,Orlando + 15 more,76 years old,501-1k Employees (India),(77 Reviews),4.1
6093,Ghv India,Private,Mumbai + 15 more,57 years old,201-500 Employees (India),(77 Reviews),4.3
6094,Brainbees Soluti...,Private,Pune + 13 more,12 years old,1k-5k Employees (India),(77 Reviews),4.1
6095,Jms Mining Servi...,Private,Kolkata + 8 more,20 years old,201-500 Employees (India),(77 Reviews),4.1
6096,Rds Project,Private,New Delhi + 10 more,30 years old,201-500 Employees (India),(77 Reviews),3.6
6097,PKF Sridhar & Sa...,Chennai + 6 more,44 years old,51-200 Employees (India),,(77 Reviews),3.4
6098,Elite Powertech,Private,Noida + 13 more,10 years old,201-500 Employees (India),(77 Reviews),3.8
6099,Paramount Plaste...,Private,Gwalior + 23 more,9 years old,11-50 Employees (India),(77 Reviews),3.9
6100,Ultimate Flexipa...,Public,Noida + 7 more,35 years old,51-200 Employees (India),(77 Reviews),4.1
6101,A.t.e. Enterpris...,"Mumbai,Maharashtra + 12 more",83 years old,501-1k Employees (Global),,(77 Reviews),3.9
6102,MT Autocraft,Private,Kasauli + 5 more,35 years old,501-1k Employees (Global),(77 Reviews),3.8
6103,HCL Healthcare,Private,Noida + 12 more,8 years old,501-1k Employees (Global),(77 Reviews),3.6
6104,The Nuance Group...,Private,Zurich + 8 more,30 years old,1k-5k Employees (India),(77 Reviews),4.4
6105,The Sparks Found...,Singapore + 12 more,6 years old,5k-10k Employees (India),,(77 Reviews),4.6
6106,AccSource KPO,Private,Sydney,14 years old,51-200 Employees (India),(77 Reviews),4.2
6107,Altos Global Ser...,Private,Irvine + 5 more,20 years old,51-200 Employees (India),(77 Reviews),4.1
6108,UTILITY PROJECTS...,Private,Chennai + 10 more,16 years old,1k-5k Employees (India),(77 Reviews),3.7
6109,Dezire Research,Indore,6 years old,51-200 Employees (India),,(77 Reviews),4.5
6110,Ronch Polymers,Mumbai + 4 more,27 years old,51-200 Employees (India),,(77 Reviews),3.2
